ALB             CARICA BATTERIA BC 12V
CFS             RELÉ DI FASE
AMC1            ALIMENTATORE MCP2015X,RSS,BOX A3 24V
AMC2            ALIMENTATORE MCP2015X,RSS,BOX A3 24V
AB1             CARICABATTERIE BATTERIE EMERGENZA 24V
AB2             CARICABATTERIE BATTERIE EMERGENZA 24V

BC              BATTERIA ALLARME 12V 7AH

F1              FUSIBILE 4A TR1
F3              FUSIBILE 4A CIRCUITO MANOVRA
F4              FUSIBILE 4A CIRCUITO LUMINOSE
F5              FUSIBILE MOTORE PORTE 48VCC
F6              FUSIBILE MOTORE PORTE 48VCC 2 ING
F8              FUSUBILE PATTINO RETRATTILE
F9              FUSIBILE 4A PROTEZIONE CIRCUITO VALVOLE
F10             FUSIBILE 4A PROTEZIONE +24VDC GRUPPO BATTERIE
F11             FUSIBILE 4A PROTEZIONE +48VDC GRUPPO BATTERIE

VA              VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1             TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X        SCHEDA MADRE MICROPROCESSORE
PER16           SCHEDA ESPANSIONE CHIAMATE CABINA-DISPLAY
L1307           SCHEDA LEGGE 13
CEX             SCHEDA CONTROLLO FOSSA-TESTATA RIDOTTA

RX              RELÉ CONTROLLO FOSSA-TESTATA RIDOTTA
P               TELERUTTORE PROTEZIONE
DS1             TELERUTTORE DISCESA
DS2             TELERUTTORE DISCESA
SAL             TELERUTTORE SALITA
PV              RELÉ BASSA VELOCITA'
RP              RELÉ PATTINO
RM              RELÉ MANUTENZIONE
AP1-AP2         RELÉ APERTURA
CP1-CP2         RELÉ CHIUSURA
RSS             RELÉ SICUREZZA
BOX A3          GESTIONE CONTROLLO A3
X1-X2           RELÉ GESTIONE A3

RD1             RADDRIZZATORE MANOVRA
RD2             RADDRIZZATORE LUMINOSE
RD4             RADDRIZZATORE PATTINO
RD5             RADDRIZZATORE PORTE 48VCC
RD6             RADDRIZZATORE PORTE 48VCC 2ING
