1-2                     EXTRA CORSA
4-5                     INTER FOSSA
5-6                     ALT CABINA
6-7                     PARACADUTE
7-8                     PRELIMINARI
8-9                     PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9-10                    BLOCCHI

CB                      COMUNE PULSANTI CABINA
CE                      COMUNE PULSANTI PIANI
UP-DW                   PULSANTI ISPEZIONE
GND-FCD                 BISTABILE FINE CORSA DISCESA
GND-FCS                 BISTABILE FINE CORSA SALITA
GND-ID                  INDUTTORE CONTEGGIO DISCESA
GND-IS                  INDUTTORE CONTEGGIO SALITA
GND-IP1, GND-IP2        INDUTTORI CABINA AL PIANO E ZONA SICUREZZA  
GND-PA                  PULSANTE APERTURA PORTE
GND-SVR                 CONTATTO SOVRACCARICO (N.C.)
GND-CM1                 COSTOLA-FOTOCELLULA LATO 1
GND-CM2                 COSTOLA-FOTOCELLULA LATO 2

CFC-FA1                 CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC-FC1                 CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC-FA2                 CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC-FC2                 CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL                      COMUNE LUMINOSE
PE                      RITORNO PRESENTE
CL-FS                   SEGNALAZIONE FRECCIA SALITA
CL-FD                   SEGNALAZIONE FRECCIA DISCESA
CL-SV                   SEGNALAZIONE SOVRACCARICO
CL-GON                  SEGNALAZIONE GONG IN CABINA

1A-1B                   CONTATTO APERTURA PORTA PIANO FOSSA
1B-1C                   CONTATTO APERTURA PORTA PIANO TESTATA
2-3                     CONTATTO PILASTRINO FOSSA (APERTO CON PILASTRINO ALZATO)
3-3A                    CONTATTO GREMBIULE RETRATTILE(APERTO CON GREMBIULE RIPIEGATO)
3A-3B                   1°CONTATTO ISPEZIONE (CHIUSO IN NORMALE) + STOP MANUTENZIONE
3B-3C                   1° CONTATTO PIANTONE TESTATA (CHIUSO IN POSIZIONE RIPOSO)
3D                      USCITA CONTATTI PULSANTI ISPEZIONE TAGLIO SERIE
3E-4                    2° CONTATTO PIANTONE TESTATA (CHIUSO IN POSIZIONE ATTIVA)
3F                      2°CONTATTO ISPEZIONE (APERTO IN NORMALE) + INGRESSO PULSANTI ISPEZIONE
GND                     3°CONTATTO ISPEZIONE (APERTO IN NORMALE) + 2° CONT PULSANTI ISPEZIONE
UP-DW                   2°CONTATTO PULSANTI ISPEZIONE
FEM-FEM                 INTERRUTTORE FINE CORSA SALITA IN MANUTENZIONE CON TESTATA RIDOTTA
CL-SF                   SPIA ACCESSO IN FOSSA CONSENTITO
T1                      MORSETTO INGRESSO POSIZIONE ZERO PER A3 (DA PONTICELLARE CON CL o PE)

