CEV-ED1                 1° ELETTROVALVOLA DISCESA 
CEV-ED2                 2° ELETTROVALVOLA DISCESA

CHIAMATE                CABINA E PIANI SU PERIFERICA MORSETTI CABINA 0….7
POSIZIONE               POSIZIONE SU PERIFERICA MORSETTI 0...7

COM-AP1                 COMANDO APERTURA PORTE LATO 1 OPERATORE ELETTRONICO
COM-CP1                 COMANDO CHIUSURA PORTE LATO 1 OPERATORE ELETTRONICO
COM-AP2                 COMANDO APERTURA PORTE LATO 2 OPERATORE ELETTRONICO
COM-CP2                 COMANDO CHIUSURA PORTE LATO 2 OPERATORE ELETTRONICO

GND-IAX                 INDUTTORE FERMATA CON PIANI CORTI ESTREMI

BR1-RA1                 CONT.RALL.APERTURA LATO 1
BR1-RC1                 CONT.RALL.CHIUSURA LATO 1
BR2-RA2                 CONT.RALL.APERTURA LATO 2
BR2-RC2                 CONT.RALL.CHIUSURA LATO 2

AL1-AL2                 PULSANTE ALLARME (SENZA LEGGE 13)
AL2-AL3                 SUONERIA ALLARME(SENZA LEGGE 13)
ICP-ICP                 INDUTTORE CABINA SPIA AL PIANO (SENZA LEGGE 13)
PE                      RITORNO PRESENTE
PR+/PR-                 PATTINO RETRATTILE

M1-M1                   MOTORE PORTE LATO 1 – 48VCC
M2-M2                   MOTORE PORTE LATO 2 – 48VCC

AL- -AL1                PULSANTE ALLARME
AL- - ALR               SPIA ALLARME RICEVUTO
AL- - ALP               LUMINOSA ALLARME AI PIANI
AL- - PAR               PULSANTE ALLARME RICEVUTO
AL- - PRS               PULSANTE RESET ALLRME
AL- - AL+               ALIMENTAZIONE CITOFONO IN ALLARME
AL+ - AL2               SUONERIA ALLARME
AL+ - LEM               LUCE EMERGENZA 12 VDC
CTF-CTF                 CONSENSO COMBINATORE TELEFONICO
TOL-TOL                 CONTATTO TERMICO OLIO
IG-IG                   4° POLO INTERRUTTORE GENERALE
PTC-PTC                 TERMISTORI MOTORE

R-S-T                   LINEA TRIFASE
U-V-W                   MOTORE POMPA
L1-L2                   LINEA LUCE 230 VAC
L1-L3                   LUCE CABINA  A TEMPO

+24                     24 V GRUPPO BATTERIE
+48                     48 V GRUPPO BATTERIE
-                       NEGATIVO GRUPPO BATTERIE

